Metric,Group_A_Raw,Group_B_Raw,Group_C_Raw,Group_A_PlotScaled,Group_B_PlotScaled,Group_C_PlotScaled
Safety,0.7267,0.5459,0.0,0.7267,0.5459,0.015
Creativity,0.4584,0.5916,0.0,0.4584,0.5916,0.015
Satisfaction,0.2643,0.5826,0.0,0.2643,0.5826,0.015
Global Score,0.4831,0.5733,0.0,0.4831,0.5733,0.015
θ Jitter,0.0037,0.0156,0.0076,0.07400000000000001,0.312,0.152
