generation,pareto_front_size,hypervolume
0,3,0.159394471447219
1,9,0.17694480544797705
2,3,0.185676782499378
3,4,0.186180532899618
4,4,0.190307339760858
5,5,0.19072499467807802
6,5,0.19072499467807802
7,5,0.19072499467807802
8,5,0.19072499467807802
