threshold,run_id,policy_count,pareto_count,hv
threshold-3,1,20,3,0.2383994780694127
threshold-3,2,20,4,0.23844102543570364
threshold-3,3,20,5,0.22148102442098777
threshold-6,1,20,6,0.2474919420918628
threshold-6,2,20,7,0.2580160760315464
threshold-6,3,20,6,0.2650014961648098
threshold-9,1,20,7,0.22789287832791466
threshold-9,2,20,6,0.219036066027275
threshold-9,3,20,8,0.1997546103330179
