timestamp,scale,time_a,time_b,cost_a,cost_b,saving
4,4,23.25,10.88,3.8820819,0.657776,83.05610193334664
6,6,24.7,12.05,5.202686900000001,0.6700932,87.12024742446062
8,8,27.49,14.46,6.461468,2.6003714,59.75571805044921
10,10,28.68,13.22,8.551516000000001,2.6140761,69.4314306375618
12,12,33.79,14.19,10.477160399999999,1.3140945,87.457531909123
14,14,37.28,13.61,11.7143773,1.9618514,83.25261898470694
16,16,45.17,13.4,15.0138595,1.2650348,91.57421980670593
