Role,Compan Work at,Date Posted ,¡í Views,¡í Comments,¡í Likes,Software Used,Tags Used,Artwork Title,URL
Artist,,3 months ago,1671,163,0,"Photoshop
Nuke","Digital 2D
Anime & Manga
Cover Art
Fan Art
fireforce
tamaki
kotatsu
pinup
anime
fanart
tutorial
digital",Tamaki kotatsu,"https://www.artstation.com/artwork/ykl5VR
"
Order From Discord : Manager J #8776,,2 months ago,1554,74,0,Photoshop,"Digital 2D
Illustration
Anime & Manga
Fan Art
anime
manga
girl
sexy
nude
nsfw
illustration
fanart
gamefanart
cute
boobs
study
anatomy
women
naughty
badass
cool
tomboy
character
semirealist
semirealism
visualnovel",sexy girl,"https://www.artstation.com/artwork/ZGVNAw
"
Freelance Artist,,3 months ago,1473,111,1,CLIP STUDIO PAINT,"Digital 2D
Anime & Manga",Aur,"https://www.artstation.com/artwork/9m2Jaq
"
